project,technologies
vueuse,"['github', 'github funding', 'github issues', 'github-action', 'gitpod', 'netlify', 'npm', 'pnpm', 'tsconfig', 'vscode']"
gorm,"['dependabot', 'github', 'github funding', 'github-action', 'golangci-lint']"
ungoogled-chromium,"['cirrus', 'github issues', 'github-action']"
jgthms_bulma,"['bower', 'github', 'github funding', 'github-action', 'npm', 'travis']"
rails,"['devcontainer', 'docker', 'github', 'github issues', 'github-action', 'npm', 'rubocop']"
czkawka,"['cargo', 'clippy', 'docker', 'github funding', 'github-action', 'rustfmt']"
celery,"['dependabot', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'helm', 'kubernetes', 'poetry', 'pre-commit', 'readthedocs', 'redis', 'tox']"
LibreChat,"['devcontainer', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'helm', 'kubernetes', 'nginx', 'npm', 'tsconfig', 'vscode']"
sanic,"['appveyor', 'codecov', 'crowdin', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'poetry', 'readthedocs', 'tox']"
hey,"['github-action', 'npm', 'pnpm', 'tsconfig', 'vscode']"
DeepSpeed,"['docker', 'github-action', 'pre-commit', 'readthedocs']"
gin-vue-admin,"['docker', 'docker compose', 'github funding', 'github issues', 'github-action', 'kubernetes', 'nginx', 'npm', 'swagger']"
explosion_spaCy,"['docker', 'eslint', 'github funding', 'github issues', 'github-action', 'netlify', 'npm', 'poetry', 'pre-commit', 'tsconfig', 'vscode']"
axum,"['cargo', 'clippy', 'github issues', 'github-action']"
Sunshine,"['codecov', 'crowdin', 'dependabot', 'github', 'github issues', 'github-action', 'jekyll', 'npm', 'prettier', 'readthedocs']"
MinerU,"['docker', 'docker-compose', 'github issues', 'github-action', 'jekyll', 'poetry']"
axios,"['bower', 'dependabot', 'github', 'github funding', 'github issues', 'github-action', 'npm', 'tsconfig']"
docker-elk,"['dependabot', 'docker', 'docker-compose', 'elasticsearch', 'github issues', 'github-action', 'logstash']"
tauri,"['android', 'cargo', 'devcontainer', 'docker', 'fuel', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'npm', 'pnpm', 'renovate', 'rustfmt', 'tsconfig', 'vscode', 'wrangler']"
wagtail,"['babel', 'circleci', 'codecov', 'django', 'docker', 'github funding', 'github issues', 'github-action', 'npm', 'poetry', 'pre-commit', 'readthedocs', 'ruff', 'tox', 'tsconfig']"
shadPS4,"['cmake', 'crowdin', 'github funding', 'github issues', 'github-action', 'reuse']"
1Panel,"['github issues', 'github-action', 'goreleaser', 'jekyll', 'npm', 'swagger', 'tsconfig', 'vscode']"
FiraCode,"['docker', 'github funding', 'github-action', 'npm']"
google-research_google-research,"['android', 'cargo', 'chart testing', 'circleci', 'django', 'docker', 'gradle', 'gradle-wrapper', 'npm', 'poetry', 'trunk', 'tsconfig']"
wasmer,"['cargo', 'docker', 'github', 'github-action']"
tdesktop,"['dependabot', 'devcontainer', 'docker', 'github issues', 'github-action', 'poetry', 'snapscraft']"
