project,technologies
dragonfly,"['chart testing', 'circleci', 'dependabot', 'devcontainer', 'docker-compose', 'github', 'github issues', 'github-action', 'helm', 'json', 'kubernetes', 'poetry', 'pre-commit', 'prometheus', 'vscode', 'yaml']"
composio,"['changesets', 'codecov', 'docker', 'github', 'github-action', 'json', 'mypy', 'npm', 'pnpm', 'poetry', 'ruff', 'tsconfig', 'turborepo', 'yaml']"
dgraph,"['docker', 'docker-compose', 'github', 'github issues', 'github-action', 'golangci-lint', 'json', 'markdownlint', 'nodejs', 'npm', 'prometheus', 'renovate', 'vscode', 'yaml']"
devise,"['dependabot', 'devcontainer', 'yaml']"
classnames,"['dependabot', 'github-action', 'nodejs', 'npm']"
meteor_meteor,"['circleci', 'dependabot', 'eslint', 'github', 'github issues', 'github-action', 'jekyll', 'json', 'netlify', 'nodejs', 'npm', 'renovate', 'travis', 'tsconfig']"
zxing,"['android', 'configparser', 'dependabot', 'github-action', 'maven', 'yaml']"
kitty,"['dependabot', 'github funding', 'github-action', 'json', 'poetry']"
ruby,"['cargo', 'dependabot', 'docker', 'github', 'github-action', 'rubocop', 'toml', 'travis', 'vcpkg', 'vscode', 'yaml']"
DeepSpeech,"['android', 'github', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'nodejs', 'npm', 'readthedocs', 'tsconfig', 'yaml']"
tabler,"['changesets', 'dependabot', 'docker', 'docker-compose', 'github', 'github funding', 'github issues', 'github-action', 'gitpod', 'json', 'npm', 'pnpm', 'turborepo', 'vercel', 'vscode']"
FlClash,"['android', 'cargo', 'flutter', 'github', 'github issues', 'gradle', 'gradle-wrapper', 'json', 'vscode', 'yaml']"
bokeh,"['codecov', 'conda', 'django', 'github', 'github funding', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'poetry', 'pre-commit', 'ruff', 'tsconfig', 'yaml']"
beego,"['deepsource', 'dependabot', 'github-action', 'sonar-qube', 'yaml']"
windows,"['dependabot', 'devcontainer', 'docker', 'github issues', 'github-action', 'renovate', 'yaml']"
Qwen,"['configparser', 'docker', 'github issues', 'github-action', 'json']"
git-extras,"['dependabot', 'github', 'github-action']"
fish-speech,"['docker-compose', 'github issues', 'github-action', 'json', 'mkdocs', 'poetry', 'pre-commit', 'pyright', 'readthedocs', 'yaml']"
TrafficMonitor,"['configparser', 'github issues', 'github-action']"
docs,"['amplify', 'cspell', 'dependabot', 'docker', 'github', 'json', 'npm', 'pnpm', 'tsconfig', 'vscode']"
Chart.js,"['codeclimate', 'dependabot', 'eslint', 'github', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'tsconfig']"
immich-app_immich,"['android', 'devcontainer', 'docker', 'docker-compose', 'flutter', 'github', 'github funding', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'npm', 'pnpm', 'poetry', 'prometheus', 'renovate', 'toml', 'travis', 'tsconfig', 'vscode', 'yaml']"
rollup,"['cargo', 'codecov', 'dependabot', 'github funding', 'github issues', 'github-action', 'json', 'nodejs', 'npm', 'prettier', 'renovate', 'rust', 'rustfmt', 'tsconfig', 'vscode']"
vuetify,"['crowdin', 'docker', 'docker-compose', 'eslint', 'fuel', 'github', 'github funding', 'github issues', 'github-action', 'json', 'lerna', 'npm', 'pnpm', 'renovate', 'tsconfig']"
sing-box,"['docker', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'json', 'mkdocs', 'renovate']"
biome,"['biomejs', 'cargo', 'changesets', 'clippy', 'devcontainer', 'github', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'renovate', 'rust', 'rustfmt', 'taplo', 'tsconfig', 'yaml']"
v2rayN,"['dependabot', 'github issues', 'github-action', 'yaml']"
frp,"['circleci', 'configparser', 'github funding', 'github issues', 'github-action', 'golangci-lint', 'goreleaser', 'npm', 'prettier', 'toml', 'tsconfig']"
Scrapegraph-ai,"['codebeaver', 'docker', 'docker-compose', 'github funding', 'github-action', 'poetry', 'pre-commit', 'readthedocs', 'yaml']"
node,"['docker-compose', 'github-action', 'json', 'prometheus', 'yaml']"
the-swift-programming-language-in-chinese,"['gitbook', 'github', 'github funding', 'github issues', 'json', 'npm']"
TryGhost_Ghost,"['codecov', 'docker', 'github', 'github funding', 'github issues', 'github-action', 'json', 'lerna', 'npm', 'prometheus', 'tsconfig', 'vscode', 'yaml']"
maui,"['android', 'dependabot', 'github', 'github issues', 'github-action', 'gradle', 'gradle-wrapper', 'json', 'vscode', 'yaml']"
xyflow,"['changesets', 'github', 'github funding', 'github issues', 'github-action', 'json', 'npm', 'pnpm', 'prettier', 'tsconfig', 'turborepo']"
CyberChef,"['cspell', 'devcontainer', 'docker', 'github-action', 'json', 'nodejs', 'npm']"
guzzle,"['docker', 'github', 'github funding', 'github issues', 'github-action', 'json']"
